threshold,CDC42,HOG1,KSS1,STE11,FUS3,BNI1,BEM1,RHO1,PBS2,CDC24,CLA4,SHO1,STE7,PTP2,BEM2,RGA1,ACT1,RDI1,STE5,STE50,RSR1,PTP3,STE12,SSK1,SLT2,SSK2,SLN1,STE4,STE20,GPA1,SPA2,GIC2,GIC1,RHO3,BUD6,BOI2,BEM3,SPT15,TAF6,TAF10,TAF9,TAF5,TAF12,SKO1,YPD1,PTC5,PTC6,PTC7,FAR1
820,0.05660465707110187,0.05596841813260393,0.0502904114194671,0.045540651081260604,0.04879465067195638,0.050816300496065316,0.05079032893485472,0.044149522436647916,0.04436776196226255,0.047528601206830216,0.045437316779311086,0.035080452601989026,0.03466718262858321,0.03370021561076095,0.03335454582480599,0.032777840026588616,0.03239869444874226,0.03506725366825908,,0.033214403560737266,0.033361984368361325,0.030376910648637758,,,0.03266945160046419,,,,0.030502660452615862,,0.03128380946268884,0.031255974904403856,,,,,,,,,,,,,,,,,
821,0.05914898972570243,0.051703483217933624,0.047662351849970724,0.04335979832872745,0.04525722266792591,0.05310045129616161,0.053073312334692826,0.04613400706093391,0.041994783351134275,0.04966497263517622,0.047479686697281163,0.033396524338886,0.03303398412227967,0.03171070634360973,0.03485380515279423,0.034251176904544885,0.03427538076037588,0.03664349780137412,,0.031614916507022736,0.034861578052747956,0.028340743537870684,,,0.031214001328770717,,,,0.03187372988501784,,0.03268999089889539,0.03266090520017011,,,,,,,,,,,,,,,,,
822,0.060779615368590265,0.04969597323320753,0.04457079965997875,0.04167078228777764,0.043661337887562324,0.05560415131194332,0.0557566076304217,0.04256682530738405,0.04033257545662873,0.05221831433972017,0.0500349566841473,0.03199655922242979,0.031638153612419666,0.03060870594581895,0.03322267322676917,0.03574697748303689,0.032615953535214744,0.03754096427639582,,0.03029082964308566,0.03717282684898019,,,,0.029571576326758685,,,,0.03363728362595681,,0.03425936164505044,0.03485997459898499,0.029946220841736357,,,,,,,,,,,,,,,,
823,0.06013041501857148,0.05008945749331442,0.043328656462651674,0.041607612313154706,0.04353977569029363,0.05477428074009866,0.056100106993135064,0.042858998120933946,0.040734223052636145,0.05261195974907556,0.050220360637195594,0.032281398344738484,0.03140642997057763,0.030890009580453043,0.033480192475429556,0.0360336331472791,0.03199745389671053,0.03786008997851393,,0.030439034389421152,0.0374786909974152,,,,0.02986246045983738,,,,0.0338945609283923,,0.0331863534841787,0.03504001571590156,0.030153830360090585,,,,,,,,,,,,,,,,
824,0.0615961143618573,0.04992145039669589,0.04368727614210411,0.041960667287271484,0.04390512115122065,0.05380827246517872,0.056444012895652616,0.042050129000109654,0.04074888144310301,0.05281736565802264,0.05057842789633137,0.03247025581217347,0.031673120246690147,0.03094240702472416,0.030939561012699728,0.035956503880409364,0.03207214228666424,0.03550117592468842,,0.030702512133741377,0.03760097032376316,,,,0.029097516141931262,,,,0.03438327885461236,,0.034795065633613856,0.03569209133840163,0.030655680688339387,,,,,,,,,,,,,,,,
825,0.06158614096576686,0.0505807556398772,0.044418872029254805,0.042705720307804285,0.044643386861122306,0.05311614968793798,0.055514531409381195,0.04266046967227885,0.041224567445180126,0.051912162136541984,0.049680851284815655,0.03300962269223859,0.03226533376947972,0.03136867629075671,0.03070559074798777,0.035366212065606334,0.03234211884937151,0.03526011482060405,,0.03123323485707461,0.03673950088121307,,,,0.029523464021380303,,,,0.03368754673523146,,0.035521486713343584,0.034971495394458096,0.029961994721293,,,,,,,,,,,,,,,,
826,0.059667325888838996,0.05315496474669932,0.046679484063336905,0.04487914481953846,0.046915425140571815,0.05146123078489736,0.05378488707404092,0.04133131426308552,0.0433226115649188,0.050294755398248556,0.04813296461770163,0.03468958318852128,0.03390741512973855,0.0329651240139093,0.029748908781082817,0.03426432096054368,0.031232296726830536,0.03416152934551169,,0.03282278955208607,0.035594822758762405,,,,0.031026003257643788,,,,0.03263795714305024,,0.03441475777739121,0.03388190232086546,0.029028480682184638,,,,,,,,,,,,,,,,
827,0.059687308388405386,0.053996013599249285,0.04741807408397149,0.04558924882268788,0.0476577483585328,0.05085307197362389,0.05297451870348987,0.041663462494541295,0.04400808719113314,0.049479866309146726,0.04727036772436452,0.03523846200492487,0.03444391802695049,0.03348671743153617,,0.03370743062020938,0.03119575853585327,0.03441714336226938,,0.03334213087084757,0.03500404699520664,0.02898468912153866,,,0.03151691477575695,,,,0.032114181860171356,0.028841653645850323,0.03384511939851034,0.03326406570122825,,,,,,,,,,,,,,,,,
828,0.059622587797061574,0.05407751137157059,0.047489643578606626,0.04565805801753746,0.04772967960060367,0.05079793058798183,0.05291707697476702,0.04161828565539602,0.044074509892201734,0.04942621392820333,0.04721911116355176,0.03529164845262719,0.03449590524604499,0.0335372599196035,,0.03367088072541057,0.031041444625673077,0.034379823906409916,,0.03339245513016395,0.034966091143583816,0.029028436565791915,,,0.03156448418270851,,,,0.03207935956885628,0.028885185202450866,0.03380842020397942,0.033227996559214455,,,,,,,,,,,,,,,,,
829,0.062686467926496,0.0523288413582268,0.04680513614908164,0.04487155556748674,0.04699485009063752,0.05374448625379442,0.05266626746034117,0.04303626651882014,0.04127684862852767,0.05071357313212648,0.04868705405925937,0.03118598519860836,0.03487468271986158,0.0293409558994598,0.02900037589865667,0.03468237497583291,0.03295294374649015,0.035471732803019726,,0.031745246603161664,0.03569712518711063,,,,0.02965043419210117,,,,0.032730304320706595,,0.03653654238997579,0.03401119585193828,,0.028308753068278732,,,,,,,,,,,,,,,
