threshold,PTC6,PKP1,UTH1,CDC42,HOG1,KSS1,STE11,BNI1,BEM1,ACT1,ARP4,YAF9,RHO1,PDA1,PDB1,PDX1,IRC15,MAE1,PGI1,TAL1,TKL1,RPS8B,RPS8A,RPS20,YTM1,NOP7,RPF2,RPS13,AIM22,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,PWP2,NOP14,FUS3,KGD2,LPD1,NQM1,TKL2,TPI1,ASC1,KGD1,HSP104,BTN2,HSP78,SOL4,PGM2,TFS1,SIS1,MDH1,HSP82,HSC82,AHA1,PBS2,RPO21,RPO26,RPB3,SPT15,TAF6,TAF10,PTC7,PTC1,SWC4,IDH1,ACO1,ATP6,ATP4,ATP18,CYT1,QCR2,RIP1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,GPM1,RPS15,IDH2,TIM8,RPT1,PYC2,CLA4,STE7
852,,,,,,,,,,,,,,0.20340554621948165,0.1820804033822857,0.14414391956976855,,,0.05039953928264125,,,0.006749311022835619,0.006749311022835619,,0.00449128690830142,0.00456422954641537,0.004451381221846632,,,,,,,,,,,,0.1503541581274954,0.13558570880508974,0.05030723539660508,0.04998204907285515,,0.006735920421543008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,0.1933277988517891,0.17764289565789118,0.15639648324045433,,,0.04388206312383497,,,0.005882498905731568,0.005882498905731568,,0.004086796888453031,0.004158094927791685,0.004038725429159117,,,,,,,,,,,,0.16381985042692218,0.14732945702045316,0.04398459746413452,0.04369717968156133,,0.005871059476092304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,,,,,,,,,,,,,,0.20287756145412916,0.18170309343893662,0.14405167104462657,,,0.05048002649501414,,,0.006797797794429619,0.006797797794429619,,0.004616155839392818,0.004697828988399923,0.0045512536493171555,,,,,,,,,,,,0.15023356465065255,0.1355485238579257,0.050595671656847856,0.050264513792473944,,0.006784539543424302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,,,,,,,,0.19487631100992356,0.17780061226471913,,,,0.04970266009976168,,,0.006751292025324624,0.006751292025324624,,0.00472448075275057,0.004808160387602105,0.004665218730327547,,,,,,,,,,,,0.15614104255950684,0.14391096046973137,0.04977550153313467,0.04945095173444476,,0.006730555937717202,0.14391096046973137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,,,,,,,,0.19488649078885645,0.1778099000581796,,,,0.048759826105964854,,,0.006875064708157328,0.006875064708157328,,0.00497369109165768,0.0050589056311441186,0.004910404723086742,,,,,,,,,,,,0.15614919891923765,0.14391847796509044,0.04966554430317268,0.04934466746448011,,0.006854285567724618,0.14391847796509044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,,,,,,,,,,,,,,0.14052997720770438,0.12496174711074022,0.08665564709760615,,,0.0296841187290472,,,,,,,,,,,,,,,,,,,,0.10150223604823037,0.0911532128311869,0.030328669183463924,0.030129219477942462,,,,0.10456805188443667,0.09289061764437016,0.09289061764437016,0.025416609020884363,0.024657139563845108,0.024632136556171955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,0.14227762621863263,0.12651578759435297,0.08773330795652481,,,0.03030369895936688,,,,,,,,,,,,,,,,,,,,0.10276453101163528,0.09228680600050693,0.030539960311798755,0.030333866684440068,,,,0.10179678782198394,0.09042882911739852,,0.02544584911506978,0.024470832272925267,0.02467328781796559,0.09042882911739852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,,,,,,,,,,,,,,0.13800135463789664,0.1227132510931268,0.08509641091607284,,,0.031067725736606606,,,,,,,,,,,,,,,,,,,,0.09967585814611085,0.08951304981504436,0.031312730558690736,0.03110133398374207,,,,0.10595179055351787,0.09411982998325358,,0.02620612610940075,0.025510190498984116,0.025610517984299155,0.09411982998325356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,,,,,,,,,,,,,,0.13856677826051897,0.12321603580244295,0.08544507068871478,,,0.03112767442514936,,,,,,,,,,,,,,,,,,,,0.10008425330243993,0.08987980558371927,0.03137315201173177,0.031161347523196572,,,,0.1062834222063862,,0.09441442731494536,0.024422680010279627,0.025069094422482903,0.02454183113304691,0.09441442731494537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,,,,,,,,,,,,,0.19979911977196516,0.18230787826736738,,,,0.052664643829747025,,,0.007238893554950289,0.007238893554950289,,0.004966629082361973,0.005041605428007784,0.004889619643640803,,,,,,,,,,,,0.1453064420004788,0.13354126591026413,0.05285425243600457,0.05250467973158146,,0.007228868697242798,,,,,,,,,0.1444172080914375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,,,,,,,,0.1590130743756651,0.14509241201505152,,,,0.03919420196480398,,,,,,,,,,,,,,,,,,,,0.1156442735856711,0.10628078478346163,0.03893617260647518,0.03869423161968097,,,,,,,0.03367051396323724,0.03322275011848742,0.03340878306662341,,0.11493656367244862,0.04965739765155469,0.04672853968954292,0.045520300887296174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,0.156258471434566,0.14257895841108179,,,,0.03989283973809074,,,,,,,,,,,,,,,,,,,,0.11364095368640433,0.10443966974624652,0.039640036865252616,0.03939217619128368,,,,,,,0.03554847647906186,0.035078427247712526,0.035042781898089764,,0.11294550351858997,0.050929560247333264,0.04792566847920535,0.046686476057081594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,,,,0.13335522555429938,0.09000872868578182,0.08941130982190136,0.079570439823142,0.10808246670935526,0.10755637955523382,0.05646960816218448,0.04773001008126667,0.04755353237425929,,,,,,,,,,,,,,,,,,,,,,,,,,0.0883541055222573,,,,,,,,,,,,,,,,,,,0.07484700497195465,0.026625816448498436,0.025288877846844537,0.025146494443020997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,0.11866282375502285,0.08584298479104752,0.08899545844047076,0.07915975509573704,0.09466424806892419,0.09604054179451084,0.04711903790409966,0.040760025252789565,0.040563241754907976,,,,,,,,,,,,,,,,,,,,,,,,,,0.08821464759486344,,,,,,,,,,,,,,,,,,,0.07461786729486318,,,,0.04917750843162389,0.04816072369188499,0.048021136129253975,,,,,,,,,,,,,,,,,,,,,,,,,
866,,,,0.11920930819888337,0.08606968324364667,0.0888465969411218,0.07945778765698372,0.09142516889766358,0.09698294966203684,0.04741664466274819,0.041066022759056964,0.04086780983781125,,,,,,,,,,,,,,,,,,,,,,,,,,0.08806388833645877,,,,,,,,,,,,,,,,,,,0.07478113389891416,,,,0.04933098164576866,0.04831102372326638,0.048171000535639795,,,,,,,,,,,,,,,,,,,,,,,,,
867,,,,0.12017326438402119,0.08208412198519675,0.09206926590206231,0.07560854059284372,0.09070562893832641,0.0967965083471435,0.047419104775244844,0.04102590841796459,0.040766215394306415,,,,,,,,,,,,,,,,,,,,,,,,,,0.09216093225917016,,,,,,,,,,,,,,,,,,,0.07563648794077198,,,,0.049243362736916936,0.04822521640618241,0.048085441919848704,,,,,,,,,,,,,,,,,,,,,,,,,
868,,,,0.12054718321523965,0.0836398296154139,0.09455322583158085,0.07795384040870965,0.09026357915896537,0.09671214040424973,0.04786501093168709,0.04143500661137803,0.04117461749689997,,,,,,,,,,,,,,,,,,,,,,,,,,0.09142519729888104,,,,,,,,,,,,,,,,,,,0.07714030727195985,,,,0.049411199927409964,0.04396449281778569,0.04391436900983912,,,,,,,,,,,,,,,,,,,,,,,,,
869,,,,0.11255974676114909,0.08039279522912256,0.08908212143057641,0.07539212084254499,0.08313299767527033,0.09092405204727194,0.05328253060972866,0.04635747130621618,0.04610884546871391,,,,,,,,,,,,,,,,,,,,,,,,,,0.08851717277690554,,,,,,,,,,,,,,,,,,,0.07447528840123088,,,,0.05730997487490921,0.05126580181574341,0.05119908076061686,,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,0.11339231825544695,0.08058072971023765,0.08903513174650153,0.07563008749249937,0.0833768012493238,0.09164140254891857,0.05298727888130493,0.04597494684482959,0.044972497634339886,,,,,,,,,,,,,,,,,,,,,,,,,,0.08845823081267519,,,,,,,,,,,,,,,,,,,0.07479744346566031,,,,0.055937019067895125,0.051656401754045574,0.05155971053632158,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,0.11378730102827728,0.09493687929311842,0.08948612425718644,0.0730113964426756,,0.08513823307714236,0.05238413652932124,0.045531844345822074,0.04453753333500651,0.07908933605307641,,,,,,,,,,,,,,,,,,,,,,,,,0.0784746831621379,,,,,,,,,,,,,,,,,,,0.09261950725870235,,,,0.05415313748063478,0.04845654040970663,0.048393347327192075,,,,,,,,,,,,,,,,,,,,,,,,,
872,,,,0.11205669362708222,0.09311758378521386,0.08777128272149366,0.07161226360238192,,0.08209527608072151,0.0539192878190053,0.04694838652077289,0.0459774946483304,0.08102790908531934,,,,,,,,,,,,,,,,,,,,,,,,,0.076970856202329,,,,,,,,,,,,,,,,,,,0.09084462004148261,,,,0.05653988763698252,0.05059221824444512,0.05052623998443968,,,,,,,,,,,,,,,,,,,,,,,,,
873,,,,0.11331802484384344,0.09336950744438803,0.0873792035466984,0.07153985688305745,,0.08248895378149149,0.05326166645267615,0.04639879033955219,0.04543928445872294,0.08327273851224444,,,,,,,,,,,,,,,,,,,,,,,,,0.07651486573838864,,,,,,,,,,,,,,,,,,,0.09109994026492234,,,,0.055860028644057744,0.05001230290103763,0.050044836188919105,,,,,,,,,,,,,,,,,,,,,,,,,
874,,,,0.11590061853801557,0.09504003916189267,0.0852759096386581,0.07031037459419034,,0.08425340415813665,0.052302786982801754,0.045592210334081604,0.044605437700018,0.08416852173221788,,,,,,,,,,,,,,,,,,,,,,,,,0.07727074187405013,,,,,,,,,,,,,,,,,,,0.09368851930504424,,,,0.05431026024364598,0.04862477252288959,0.048656403214357415,,,,,,,,,,,,,,,,,,,,,,,,,
