threshold,PDA1,PDB1,KGD2,PDX1,LPD1,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,SIS1,BTN2,HSP78,CUR1,YJL144W,HSP26,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
844,0.10105035696262976,0.091724825790851,0.08445116058444874,0.08131412982898178,0.07750637193164372,0.05349285354319773,,0.035438060703477346,0.044750925868233385,,,0.02048725439954011,0.024329104637509414,0.023468602192843187,0.02144708683158854,0.02332194872442697,0.02314138842391169,0.022340814330337036,0.02302711643272381,0.02173904526946795,0.022585266606462803,0.022230968612701033,0.022122555421207713,0.02252400457657558,0.021280593643078067,,0.020329014409183534,0.07173317147526662,0.024163378799712438,,,,,,,,,,,,,,,,,
845,0.10136724218138675,0.09201246694680387,0.0847159921525943,0.08156912393878406,0.07774942524053703,0.05366060252604637,,0.03554919141054152,0.044891260918594245,,,0.02055150066533538,0.02412638862765448,0.023610189966796195,0.021230465634484372,0.023451661196560877,0.022955064465242397,0.022114180992868014,0.022819583519994163,0.021531433187754127,0.022382138772177092,0.022031917284492313,0.0219234121614441,0.02232007370368543,0.021089849061657694,,0.02014956184484653,0.07195812052461516,0.024239153075103523,,,,,,,,,,,,,,,,,
846,0.09911860334430167,0.09056101526242977,0.07657464445210181,0.0738946334939987,0.07037091415058194,0.0491433212341596,0.04241985340162808,0.040611127899256895,0.048991839383225814,,,,0.024819813298942447,0.024288778398303356,0.02184065760648172,0.02412569329922468,0.023614823713792324,0.022749772125981286,0.02347544886501072,0.02215027536969028,0.02302543137018442,0.02266514404862273,0.022553520343243615,0.022961582468630077,0.02169599952531763,,0.02072868719653069,0.06638839251689184,0.02123002723146779,,,,,,,,,,,,,,,,,
847,0.09924919721849694,0.09068033407277554,0.07667553549724082,0.07399199348641808,0.07046363146095065,0.049208070095566554,0.04247574374725039,0.0406646351557038,0.049056388659478055,,,,0.02475054452296851,0.02422099166964072,0.021779703255188056,0.024058361719239304,0.023548917902423295,0.022686280557778403,0.02340993203018476,0.022088456916671963,0.022961170473936972,0.022601888666053525,0.022490576487491636,0.022897499766118597,0.021635448895361287,,0.02067083620577762,0.06647586264951932,0.021257998887765223,,,,,,,,,,,,,,,,,
848,0.10920538214256033,0.09669564907538991,0.08907520639692508,0.0850984405495416,0.08014306359380133,0.06290261081779204,,0.04083512903154199,0.04083512903154199,0.022285812545211774,0.022285812545211774,0.025450436498418726,0.02458935592422917,0.024063251798354918,0.021637862341530395,0.023901680979957398,0.02339555492994417,0.022538535534620534,0.023257474207003262,0.021944605236341917,0.022811635222675153,0.0224546932474007,0.02234410599244881,0.022748379172084398,0.021494547442170896,,,,0.02800564574330168,,,,,,,,,,,,,,,,,
849,0.10584310097139707,0.09474645543494115,0.07823754384251741,0.07500601491452699,0.07055270681680692,0.05612928116827945,0.04977360316960085,0.047203842841689624,0.047203842841689624,,,0.02328919114672363,0.02542521611571578,0.02488444819159839,0.022379246760817033,0.02471707500633553,0.02419114843743165,0.02330477664649434,0.02405316313601855,0.022688733835979656,0.023451560914773947,0.02321636832719433,0.023101025985388258,0.023519711750153455,0.022235623538967818,,0.021243466282343113,,0.023602851922615534,,,,,,,,,,,,,,,,,
850,0.10663114526072304,0.0954518807527383,0.07882005369975083,0.07556446474428459,0.07107799998370404,0.05654718615294717,0.05014418758537285,0.04755529436232947,0.04755529436232947,,,0.023462588504867515,0.025095652794438084,0.025073497477931236,0.022078467223610843,0.02489984956098962,0.023872921067492257,0.023087120458938765,0.023701874300132417,0.02234086678128942,0.023266656280079418,0.022885732670588476,0.02194765555349456,0.02236252120753188,0.021901103760511673,,0.020897400843030087,,0.02377858461089392,,,,,,,,,,,,,,,,,
851,0.10675689571938209,0.09556444746816814,0.07891300644709343,0.07565357816491497,0.07116182250175598,0.056613872434682445,0.050203322789937416,0.047611376476641445,0.047611376476641445,,,0.023490258012295213,0.025036144406839676,0.0249890180335735,0.022025400512517834,0.024827490127634067,0.023815865327997364,0.023031695038304153,0.023646886554763786,0.02228952022107494,0.023212625448124875,0.022832551562340188,0.02189666884480825,0.022310653780957368,0.021850216216430525,,0.02084868065955697,,0.023806626773563863,,,,,,,,,,,,,,,,,
852,0.10683156179098195,0.09563128551014172,0.07896819842462176,0.07570649048918203,0.07121159327954313,0.056653468335483695,0.05023843513437872,0.047644676006578304,0.047644676006578304,,,0.023506687164480903,0.02499919332875932,0.024953408729835248,0.021992927644370875,0.02479210972014187,0.02378073564405145,0.02299772989459125,0.02361196012706501,0.02225651406228603,0.023178347232873847,0.022798835670001964,0.021864333726191086,0.02227770244317455,0.021817950154140883,,0.020817902285599658,,0.02382327719494646,,,,,,,,,,,,,,,,,
853,0.11020245397645777,0.10126160412135819,0.09338206731947188,0.08915053266395016,0.0839820646751379,0.06573819181182126,,0.04234868028934903,0.04234868028934903,,0.022069657674359432,0.022069657674359432,0.023160020899565113,0.023214136346634218,0.020466098909441063,0.023062443345498035,0.02212593321059524,0.02140093563286805,0.021864339504088864,0.020596620352008734,0.021458896385478515,0.02119791120869914,0.019728082782063866,0.020114132197875438,0.020198470534965287,,0.019265326923838044,,0.029593061270766274,,,,,,,,,,,,,,,,,
