threshold,PDB1,PDX1,KGD2,LPD1,AIM22,IRC15,PYC1,PYC2,MAE1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,PKP2,PYK2,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,YJL144W,HSP26,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
846,0.09599174178914101,0.07832591714441452,0.08116664192137082,0.07459088881715384,0.06286688142187444,0.05209032814948247,0.04496367010310664,0.043046479677536414,0.05192976229585948,,,,0.024932759706239777,0.024399308248979,0.021940046904054246,0.02423548100588002,0.023722286629218298,0.02285329849008057,0.023582277533585286,0.022251073630882665,0.02313021216439952,0.022768285299539292,0.023066072708522564,0.022656153633188035,0.021794730533870935,,0.020823016300405867,0.07036954492847235,0.022503140962742012,,,,,,,,,,,,,,,,,
847,0.09611879216352794,0.07842958582373966,0.08127407045690563,0.07468961398010475,0.06295008921321481,0.052159272577096565,0.045023182005005026,0.0431034540719701,0.05199849420569406,,,,0.024863324785566836,0.024331358930383573,0.02187894635063407,0.024167987927659212,0.023656222739392718,0.02278965463410675,0.023516603553282892,0.022189106903145687,0.023065797135108507,0.022704878195702462,0.023001836300374296,0.022593058803381416,0.021734034670134333,,0.020765026551095113,0.0704626829095316,0.02253292511324195,,,,,,,,,,,,,,,,,
848,0.10142820499120804,0.08926339659565732,0.09343479650276136,0.08406548961140757,0.07989408970430352,0.06598124078504165,,0.042833714627888174,0.04283371462788818,0.023376542635015766,0.023376542635015766,0.026696052148786176,0.02461072090826066,0.024084159665645206,0.02165666285768978,0.023922448463011288,0.023415882654632295,0.022558118619808866,0.023277681957323215,0.02196367227257891,0.022831455596326513,0.02247420348443745,0.022768144584373012,0.022363520143400855,0.021513223436136784,,,,0.02937632049140161,,,,,,,,,,,,,,,,,
849,0.10027114221626343,0.07937963224106111,0.08279959233589543,0.07466665076276245,0.07124669066792813,0.05940219197314275,0.05267591298401599,0.049956309362763546,0.049956309362763546,,0.021679032628284363,0.02464718903577757,0.02552223500545851,0.024979403590381297,0.022464642678953237,0.024811391733630533,0.024283458306198127,0.02339370425071429,0.024144946473144836,0.022775310711331143,0.0235410486261991,0.023304958578254986,0.02360945951515507,0.023189176107016325,0.022320471411987647,,,,0.02497913944091665,,,,,,,,,,,,,,,,,
850,0.10096946337659951,0.07993245806580412,0.08337623588574798,0.07518665383689323,0.07174287601694936,0.059815888343886424,0.05304276533917739,0.050304221505272834,0.050304221505272834,0.02183001253023158,,0.024818840153597338,0.02517938479188859,0.02515715555385755,0.022152132339096024,0.024982928258206086,0.023952573403390128,0.02316415096008738,0.023780955936092505,0.022415407396578272,0.0233442858050128,0.02296209123855732,0.02243713407311754,0.0220208842140081,0.021974177100315153,,,,0.025153102370360055,,,,,,,,,,,,,,,,,
851,0.10108149418496401,0.08002114723569972,0.0834687461041081,0.07527007729311337,0.07182247842470502,0.05988225714589949,0.053101619013150816,0.05036003662413073,0.05036003662413073,,0.02185423405096253,0.024846377932170115,0.025117927772736404,0.025070647455901058,0.0220973489467442,0.024908591900990634,0.023893662515799764,0.02310693064614898,0.02372413175450382,0.022362331431870032,0.02328845208538972,0.022907136645747384,0.02238353402688952,0.02196819676264392,0.021921592391560066,,,,0.02518101103003983,,,,,,,,,,,,,,,,,
852,0.10114781890254453,0.08007365318680054,0.08352351420045243,0.07531946582519812,0.07186960481154624,0.05992154894530657,0.05313646169046293,0.050393080409577025,0.050393080409577025,0.021868573727211436,,0.02486268090644386,0.02507977195441404,0.025033839780325876,0.022063816327073615,0.02487202086375592,0.023857386877155492,0.023071857305172645,0.0236880673546476,0.022328252349654718,0.023253056818115722,0.02287232199496682,0.022349509025971395,0.02193480791867176,0.02188827484081794,,,,0.025197533574135803,,,,,,,,,,,,,,,,,
853,0.10581593234087627,0.09316015497064302,0.09758200655685854,0.08775923066418329,0.08333737907796775,0.06869482384097476,,0.04425334880980803,0.04425334880980803,,0.02306225961478474,0.02306225961478474,0.02317882806139523,0.023232987453069343,0.020482718464142246,0.02308117126919368,0.022143900638532308,0.02141831432442919,0.02188209450410139,0.020613345897024148,0.021476322144236136,0.021215125033690548,0.020130465936992435,0.019744103028638302,0.020214872761272384,,0.01928097138818192,,0.03092403479441156,,,,,,,,,,,,,,,,,
854,0.10089281609936958,0.0799864134420839,0.08341898381242957,0.07526493925506357,0.073420567460142,0.05966730929612502,0.05280317098028489,0.050088966842324695,0.050088966842324695,0.02174371591778105,0.02174371591778105,0.02471520042232264,0.025150893645114168,0.02520851206110567,0.02223396956399533,0.025043517769206193,0.02402980310163185,0.023315134521062094,0.023749833604498945,0.022365464299852658,0.02314369960100318,0.023018397647083154,0.02184082546690607,,0.02194714556447512,,,,0.025118036866032957,,,,,,,,,,,,,,,,,
855,0.09626951923561324,0.0719258547476027,0.08454202102392795,0.07792008587984747,0.06434035252288202,0.05212990112819061,0.04369336069202344,0.041802944621980385,0.041802944621980385,,,0.020698584422368813,0.02425663614297797,0.024292185309600346,0.021437286527304818,0.02413379365890607,0.023175731873237272,0.022487228282604105,0.022921309022283405,0.021786467365401335,0.0223261976065511,0.022217397714925962,0.02108508458681511,0.020669405122668006,0.02118734459374955,,,,0.03497827741671049,0.07792008587984747,,,,,,,,,,,,,,,,
856,0.09660373792810706,0.07217555959001921,0.08483552538493185,0.07819060088219242,0.06456372279278187,0.052310880399025594,0.04384505084272845,0.04194807181909203,0.04194807181909203,,,0.020770443655457802,0.023877867134434547,0.02432140068451673,0.021598608665761167,0.024164266110161026,0.022535810263165697,0.022479776553738055,0.022962350866675713,0.021817658377906172,0.02195365274450757,0.02185028872143034,0.020737798972013208,0.0203292743947523,0.020889269084634694,,,,0.035099711430682114,0.07819060088219242,,,,,,,,,,,,,,,,
857,0.08233952951625247,0.057098955295656575,0.06688163821567254,0.06006248177503011,0.049169129158931624,0.048686453252242176,0.04532661262423129,0.04285607393695212,0.04285607393695212,0.018521148705351858,0.018521148705351858,0.021115285579952674,0.017498176248439117,0.01787812545816111,,0.017760553967096478,0.01651851093177432,,0.016507248664902743,,,,,,,,,,0.020676035536114284,,0.061640711605135484,0.05475710477390785,0.05475710477390784,0.05475710477390784,0.03793826418802519,0.03793826418802519,0.03793826418802519,,,,,,,,,
858,0.08346407194266685,0.05787877755248925,0.06779506631228045,0.06088277804571052,0.04984065074927727,0.04935138275324181,0.04594565549757606,0.043441375719155524,0.043441375719155545,0.018774099112373394,0.018774099112373394,0.0214036651058015,0.01788495378610602,0.018024392980487962,,0.017902758489402783,,,0.016564140426691777,,0.01655003176428406,,,,,,,,0.02095841605622428,,0.06007949221682278,0.05337023153064418,0.05337023153064416,0.05337023153064416,0.036977374021982076,0.036977374021982076,0.036977374021982076,,,,,,,,,
859,0.08110003083882578,0.05623941577694408,0.06587483501191979,0.05915833078995046,0.0484289613328489,0.0479535513912613,0.044644288147396904,0.04221093973134473,0.04221093973134473,0.01824234046513504,0.01824234046513504,0.020797426482340595,0.018368612552961686,0.018513470232233906,,0.018388483234048847,,,0.01701190251643244,,0.016996407004689098,,,,,,,,0.020364788692077085,,0.06264338131699657,0.05564780329175927,0.05564780329175927,0.05564780329175927,0.03855538147027843,0.03855538147027843,0.03855538147027843,,,,,,,,,
860,0.08114265522658813,0.05626897397366499,0.06590945737250693,0.05918942310403325,0.0484544145269529,0.0479787547203839,0.04466775220073556,0.042233124870416985,0.04223312487041697,0.018251928236996978,0.018251928236996978,0.020808357151067526,0.018338592159491702,0.018483213093363784,,0.018358430365308178,,,0.016984099436273613,,0.01696862924932594,,,,,,,,0.02037549197592213,,0.06261593161560536,0.05562341898249433,0.05562341898249434,0.05562341898249434,0.038538486888821735,0.038538486888821735,0.038538486888821735,,,,,,,,,
861,0.0968824383627785,0.05824983744247676,0.07721905682090259,0.07096678205241562,0.05108818381197976,0.04923852382410129,0.06054718005254765,0.05792996339307564,0.05792996339307564,,,,0.02520122123025925,0.02529195322968004,0.02227977816317461,0.025124674797327856,0.023293610563745168,0.02225409342141039,0.023806592276850808,0.02155889462044741,0.023347431349357774,0.023079773133817358,0.02189818779996014,0.02146233558319969,0.022043652009107278,,0.021006020053942916,,0.021553354358685675,,,,,,,,,0.07674649825568011,,,,,,,,
862,0.09427858957211545,0.0566842929398398,0.07514368845572633,0.06905945217150888,0.04971511860135947,0.04791517076982187,0.0589198913073208,0.056373015945496055,0.05637301594549604,,,,0.022932585105232918,0.022781611748897264,,0.022640051722363625,0.02115309589324942,,0.021215041501533864,,,,,,,,,,,,0.023944169196130762,0.022567386622401597,,0.022913759275371696,,,,0.07468383055193811,0.02905461626113164,0.027340937168104342,0.02663399487126029,0.0256437870774043,0.024635534350735205,0.02422883022983769,0.02316853271572258,
863,0.09288764239468547,0.05584799641029771,0.07403504966686093,0.0680405776793386,0.04898164237724539,0.04720825022889271,0.058050611687416126,0.05554131186752379,0.05554131186752379,,,,0.023402392883408323,0.02325409077728969,,0.023108687920269485,,,0.021685753286540453,,,,,,,,,,,,0.024621803946239425,0.023206057576871292,,0.02356223278946321,,,,0.07358197631570758,0.02987687981382974,0.02811470254596674,0.027387753346283853,0.02636952206138715,0.025332735160953804,0.024914521062697093,0.0238242164752468,0.02162227985806103
864,0.1024917706692193,0.07090798458296,0.08327630479596645,0.07471220476123343,0.06092613186185919,0.06029636890142891,0.05591448217795916,0.05276321191222099,0.05276321191222099,,,,0.02337603875860659,0.022963727576451265,,0.0228794154037797,0.021479697859068708,,0.02179382045009866,,,,,,,,,,0.026154393112380412,,0.02299896471001468,0.021898123430358636,,0.022137799214043883,,,,,0.028858572104092744,0.02822492323903818,0.02630733865424741,0.02522934231197086,0.025374046834157477,0.023727222043679056,0.022544902722943412,
