threshold,PDA1,PDB1,PDX1,KGD2,AIM22,LPD1,IRC15,MAE1,PYC2,PYC1,PTC6,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO1,ENO2,CDC19,PKP2,PYK2,PFK1,LSC1,YMR31,KGD1,HSP104,HSP78,BTN2,SIS1,HSP26,YJL144W,CUR1,MDH1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
849,0.09935443350410254,0.08893806322628589,0.07040780223594324,0.07344122362142752,0.06319408096121272,0.06622750234669698,0.052688298833704204,0.044310030807016475,0.044310030807016475,0.04672225304236022,,0.021861456929316434,0.025360722411187885,0.024821326201141972,0.022322479474294065,0.024654377575367894,0.024129785073894693,0.023245661657174788,0.02399214978654708,0.02263118150330841,0.023392073591894488,0.023157477594769858,0.023042427830807687,0.023460051555593355,0.022179220567681786,,,,,0.0221558888612533,,,,,,,,,,,,,,,,
850,0.10004196131229134,0.08955351026289952,0.07089502077510051,0.0739494332878342,0.06363138090286025,0.06668579341559391,0.05305289927816083,0.04461665404754119,0.04461665404754119,0.04704556874247468,,0.022012737139331474,0.02501893921449729,0.02499685162341116,0.022010976719410682,0.02482373452164566,0.023799945191800453,0.0230165466557611,0.023629421288299507,0.022272574161694644,0.023195533663301245,0.022815774479139555,0.021880564920602585,0.022294162393661457,0.021834155429345085,,,,,0.022309206525800422,,,,,,,,,,,,,,,,
851,0.10015225491565631,0.08965224062775155,0.07097318065121003,0.07403096057255676,0.06370153280906846,0.0667593127304152,0.05311138868953974,0.04466584272277748,0.04466584272277748,0.047097435231604826,,0.022037005596958408,0.02495769735041991,0.024910718640675813,0.021956387176894094,0.02474969685854461,0.023741241835629243,0.022959528627584005,0.023572792532394804,0.022219679305399656,0.02313989211871963,0.022761009138254757,0.021828058870829812,0.022240746646397202,0.021781751794894198,,,,,0.02233380183304618,,,,,,,,,,,,,,,,
852,0.10021755043447793,0.08971069053055444,0.0710194525065661,0.07407922598588688,0.06374306382240413,0.06680283730172493,0.05314601532558245,0.04469496317919301,0.04469496317919301,0.04712814099525644,,0.02205137289917183,0.024919680627319012,0.02487404165137953,0.02192297670369098,0.02471325567104,0.023705098382143446,0.022924583069137097,0.023536859674369852,0.02218572475582866,0.0231046259339835,0.0227263214496439,0.021794791792701503,0.022206845744726512,0.021748555748736218,,,,,0.022348362635288492,,,,,,,,,,,,,,,,
853,0.10189543727257816,0.09362854508732375,0.0824304013304192,0.08634296460374308,0.07373896710870562,0.07765153038202947,0.06078287332517213,0.03915645378388455,0.03915645378388455,,,0.020406055745957975,0.023128500075945812,0.023182541871809258,0.02043824451774179,0.02303105532507801,0.022095819781891176,0.02137180892696838,0.021834582104816657,0.020568588320427895,0.021429690794906517,0.02116906081934912,0.01970123283143484,0.02008675683340517,0.020170980385890144,,0.01923910678463489,,,0.027362348202001903,,,,,,,,,,,,,,,,
854,0.10001138154773814,0.08957312615586917,0.07101232158042677,0.07405977402262094,0.06518313201869183,0.06682057414640609,0.052972923440844144,0.04446922505925309,0.04446922505925309,0.046878908514047746,,0.02194227350355552,0.02497121149312792,0.02502841827360756,0.022075126401011672,0.024864602728270825,0.023858130206265534,0.02314856733646398,0.023580160857614232,0.022205681716685886,0.022978357175882657,0.022853950399885376,0.021267872221455698,0.021684790990500413,0.02179035151967399,,,,,0.02229991363084771,,,,,,,,,,,,,,,,
855,0.09440800438685107,0.08613566675026826,0.06435454860956483,0.07564266869858173,0.05756753754988715,0.06971779441499436,0.046642424590411506,0.037402539617200005,0.037402539617200005,0.039093960223862224,,,0.02414383182567525,0.024179215672611585,0.02133759345950756,0.024021560614654974,0.023067954249145393,0.022382652511277128,0.022814714579397648,0.02168515044894574,0.02222237070062203,0.02211407677764914,0.020573283050333964,0.02098702941716727,0.021088813868868014,,,,,0.031296273950328905,0.06971779441499436,,,,,,,,,,,,,,,
856,0.09473423098131438,0.08643330830522185,0.06457692557185177,0.07590405172818733,0.057766462014486424,0.06995870405812485,0.046803597357810464,0.037531783987980266,0.037531783987980266,0.039229049293806495,,,0.02376644055582386,0.02420790434709105,0.02149781829563191,0.024051503044593477,0.022430646421700864,0.022374874194778887,0.022855196564345173,0.02171584580760164,0.021851205553577367,0.021748323880928584,0.02023440740019656,0.020641025588764277,0.02079178886285968,,,,,0.031404418137217664,0.06995870405812485,,,,,,,,,,,,,,,
857,0.08223120529511044,0.07312144557962398,0.05070660686105362,0.05939409780205385,0.043664541479832765,0.05333836030266776,0.04323590215858644,0.03805824610060037,0.038058246100600365,0.040252202772876264,0.016447667057208452,0.018751384839136975,0.01743610939338677,0.01781471090537203,,0.01769755644592203,0.01645991899572758,,0.01644869667664689,,,,,,,,,,,0.018361309763835064,,0.06142206909872793,0.054562878745044306,0.0545628787450443,0.0545628787450443,0.0378036953786325,0.0378036953786325,0.0378036953786325,,,,,,,,
858,0.08335023052952659,0.07411650265664158,0.0513966365453505,0.06020234929219503,0.044258740769382146,0.054064203623665694,0.04382426840439997,0.038576153355046564,0.038576153355046564,0.040799966003173496,0.016671491509473727,0.019006558927123867,0.01782065172035245,0.017959589586726898,,0.017838392410109354,,,0.01650458710272983,,0.01649052916542594,,,,,,,,,0.01861117560112791,,0.05986348743955751,0.053178348667640464,0.053178348667640464,0.053178348667640464,0.03684442866667435,0.03684442866667435,0.03684442866667435,,,,,,,,
859,0.08093897153640343,0.07197236841208955,0.049909770806660606,0.058460740958112226,0.04297836894525535,0.05250016719130784,0.04255646553647967,0.03746017447764558,0.03746017447764559,0.03961965391142205,,0.018456713583563388,0.018291172257361488,0.01843541923065521,,0.01831095916557725,0.016913794750257265,,0.01694018197925001,,0.016924751795086877,,,,,,,,,0.018072768397503963,,0.06237928287447148,0.05541319753021956,0.05541319753021957,0.05541319753021957,0.03839283570753081,0.03839283570753081,0.03839283570753081,,,,,,,,
860,0.08098429037002298,0.0720126667223764,0.04993771596776461,0.05849347392398103,0.04300243311996004,0.05252956275066297,0.042580293481713896,0.03748114894003727,0.03748114894003727,0.0396418374957893,,0.018467047749122695,0.01826190511111187,0.018405921279227876,,0.018281660358899946,0.016886731503701673,,0.016913076511294985,,0.016897671016498406,,,,,,,,,0.018082887586919203,,0.06235408867066213,0.05539081684022167,0.055390816840221686,0.05539081684022167,0.038377329326516774,0.038377329326516774,0.038377329326516774,,,,,,,,
861,0.09470350952743586,0.08641277251934526,0.0519550295932625,0.06887432752504564,0.04556730487769379,0.06329770903331622,0.04391752964007875,0.051669722948086624,0.051669722948086624,0.05400410832949014,,,0.02503098245385897,0.025121101542325164,0.022129274259482256,0.02495495310583236,0.02313625804006844,0.022103763022762513,0.023645774469553234,0.02141326041458121,0.023189715256606222,0.022923865120392226,0.02131735365097535,0.021750261607717817,0.02189474318000189,,0.02086412061508838,,,,,,,,,,,,0.06845283631891261,,,,,,,
862,0.09219135260987196,0.08412054021102244,0.050576842157060466,0.06704732956902501,0.04435856170931016,0.06161863949927823,0.042752549308957236,0.05029910371147806,0.05029910371147806,0.05257156591375741,,,0.02278585976893091,0.02263585235761974,,0.022495198048535964,,,0.02107930520819015,,,,,,,,,,,,,0.023790971627620578,0.022422997868301923,,0.022767154388910162,,,,0.06663701906838497,0.028868721460241196,0.027166006684585207,0.02646358748645743,0.025479715156784644,0.024477913347869435,0.024073811367055144,0.023020297759273528
863,0.09091035207317652,0.08295168376074954,0.049874076006945225,0.06611570569400313,0.04374219868015356,0.06076244737241962,0.04215850185158206,0.049600196742162116,0.049600196742162116,0.05184108304042953,,,0.023272924570911176,0.023125442911808992,,0.022980844462381828,,,0.021565781884589148,,,,,,,,,,,,,0.024485589524772505,0.023077675443934832,,0.02343188019974665,,,,0.06571109646530077,0.029711592903578832,0.027959164472867983,0.0272362369510803,0.026223638794677942,0.025192587677379554,0.024776687251653405,0.023692414521532756
864,0.09521289553453653,0.09073535054235565,0.06277441393954825,0.0737240137251658,0.053937539527120396,0.06614226727218275,0.053380014151179205,0.04671095539999057,0.04671095539999057,0.04950075608689907,,,0.023355467151181503,0.022943518815095345,,0.022859280839636374,,,0.021774641241712592,,,,,,,,,,,0.023154327530679638,,0.0229787249389361,0.021878852432256363,,0.022118317294143347,,,,,0.02883317570471538,0.02820008446945566,0.02628418741597377,0.02520713974245107,0.025351716920366325,0.023706341384547233,0.022525062539880628
